massif_num,nom,nom_reduit,superficie,perimetre,geometry
1,Chablais,Chablais,1385.31637572,170.748079117,"POLYGON ((999869.6052105778 6556953.255833673, 999013.5225506027 6555825.454307561, 997884.1085834012 6554522.411124553, 997037.6849605573 6552335.945454662, 995995.4237565345 6549817.79954641, 995628.8117882668 6547079.766854419, 994967.2218316644 6545053.611054352, 993040.2907654548 6544672.07280451, 990634.0512023743 6544841.717812805, 988854.8623985157 6544103.394332885, 987322.9878394016 6541965.875994733, 986035.6501853191 6540847.850939293, 984021.7471592376 6541679.297769675, 982435.4320882352 6543690.098910202, 981240.6082181942 6546364.284379442, 980745.090468975 6549162.79609821, 979573.6369189075 6552181.795639146, 978673.7067083962 6554145.577639739, 976925.6098342817 6556341.034154545, 975657.1626062869 6557984.863633889, 975411.2690465101 6558152.277552875, 973676.4128091916 6559332.717620476, 971855.4689562089 6560496.630200678, 969998.4220925359 6561143.415131271, 967820.9983687256 6562158.279171887, 965447.3594104821 6562841.386247855, 963453.195973341 6564015.418458412, 961263.0550870039 6564858.140861418, 959428.6878274941 6565848.629739389, 957605.9568489596 6567011.44095059, 956874.7313173448 6568964.009893083, 955947.6154302098 6570584.042588487, 956100.6861992473 6572821.97587035, 956241.9968415593 6574888.569374072, 957405.1379687081 6576712.577375058, 959406.261330182 6578132.86490193, 961764.110012729 6579701.929615912, 964490.7741223425 6581591.180476011, 966516.8521186698 6583355.540055957, 967842.1697456759 6584995.524968126, 969684.8128199996 6586599.865481054, 972140.5775166717 6589546.424561531, 974400.8862078245 6592160.840445876, 976405.4370214057 6593580.520465431, 978201.6835609825 6594494.313824401, 980343.040932489 6595383.910477079, 981128.3952647735 6595636.254725874, 985166.6581898049 6596085.401979738, 987312.5462426848 6595934.734415896, 987346.668458088 6595932.330985079, 988603.7608464882 6595561.382433382, 992493.3243197151 6594728.399802716, 992580.287796027 6593228.836773678, 992379.5514898708 6593130.745474439, 991371.0222635635 6592040.325550522, 990368.4333572182 6591649.343281724, 990159.0502075644 6590552.007326819, 990551.7618670485 6589749.291412984, 991539.6491465603 6588441.823425935, 992426.7341026156 6587035.285435425, 994814.2356526728 6585815.645623047, 996094.8871634107 6583706.330299726, 997096.6063384673 6583997.370620377, 997783.8117873346 6582592.564868767, 997057.675992568 6579501.434148569, 995853.4947875747 6578912.320589205, 994533.9270297152 6576525.815746421, 993708.7322471654 6573535.382194851, 993890.4399427467 6571435.601194124, 992666.3788840158 6568548.572684382, 993250.3032333495 6566745.028121726, 994742.0513248458 6565932.812636343, 996842.6864154618 6566214.336343035, 997336.1866243653 6565510.702537335, 1001132.644331617 6565477.825008777, 1000305.712869864 6562287.668294378, 1001092.838233152 6560882.019188466, 999363.2787847656 6557300.041619779, 999998.081140601 6557069.817861273, 999869.6052105778 6556953.255833673))"
2,Aravis,Aravis,1073.66001809,129.974582393,"POLYGON ((976925.6098342924 6556341.034154546, 978673.7067083956 6554145.577639742, 979573.6369189096 6552181.795639155, 980745.0904689853 6549162.79609821, 981240.6082181939 6546364.284379444, 982435.4320882424 6543690.0989102, 984021.7471592342 6541679.297769678, 983250.1511388728 6540524.370211666, 982430.651733563 6538682.462230295, 981059.8890101626 6536361.602831533, 979198.1580050458 6534419.841732837, 977360.8714417538 6532822.010859452, 974896.5511687729 6532130.332521453, 972888.0708882703 6530544.060047768, 971187.8911120121 6528418.754899147, 970518.3587961842 6526222.354695383, 969689.1481397825 6524209.410981796, 968392.5571506019 6522919.026916914, 966492.4020837577 6522878.122257219, 965711.1652913693 6521551.815119898, 963989.2715604086 6519083.484452839, 962818.0213079529 6517094.645341193, 962161.863473161 6515070.779752915, 961162.8218816235 6513070.991323611, 960405.9321816509 6512088.666853154, 958737.275150391 6512892.435781896, 957138.6866978948 6514725.215317158, 955894.63377421 6516706.681066911, 953963.7878483676 6518734.955264173, 953234.1300468304 6520681.405238078, 951142.4035002834 6522893.342427827, 949576.9585088375 6525241.388333262, 948572.8117528824 6528242.551487921, 947533.5315283441 6530728.5640571, 946630.788985991 6532687.729288424, 946038.8894301377 6534603.524038553, 945922.8310933523 6534979.152824488, 945386.6369418484 6537259.720688201, 945572.6075189977 6540009.353103803, 945747.0648831447 6542587.249997554, 946414.0384419379 6544786.904776487, 947253.1726607693 6546975.815641827, 948550.1145106253 6548269.421531709, 950202.8871756151 6549712.2797999, 952016.2795376966 6550970.625148913, 954564.8347476596 6552870.696718456, 957227.2093031425 6553898.597764922, 960073.6549590374 6555085.649724343, 962736.6548563149 6556113.101938954, 965548.3328737989 6556783.563053744, 968484.751545437 6556753.980339012, 970756.7925870747 6557114.79476208, 973224.7861513054 6557807.942641055, 975411.2690465186 6558152.277552878, 975657.1626062947 6557984.863633895, 976925.6098342924 6556341.034154546))"
3,Mont-Blanc,Mont-Blanc,585.532681558,125.64264037,"POLYGON ((995389.5671130677 6528045.104223337, 994136.3354298251 6527333.380286957, 992906.6113668889 6526088.259667763, 990919.8753049641 6524896.49724588, 990566.0819226281 6523570.532604379, 988391.9998188234 6524123.101180283, 987133.1633366542 6525162.39412105, 985332.5703401736 6526620.68857266, 984289.1907271132 6528025.914715372, 982056.2739950675 6528753.038052279, 979444.4892211654 6529506.062002441, 977184.7814725171 6529853.729456817, 974924.929938937 6530201.355189907, 972888.0708882594 6530544.060047765, 974896.5511687725 6532130.332521452, 977360.8714417444 6532822.010859452, 979198.1580050392 6534419.841732834, 981059.889010164 6536361.602831533, 982430.6517335465 6538682.462230295, 983250.1511388686 6540524.370211666, 984021.7471592376 6541679.297769675, 986035.6501853191 6540847.850939293, 987322.9878394016 6541965.875994733, 988854.8623985157 6544103.394332885, 990634.0512023743 6544841.717812805, 993040.2907654548 6544672.07280451, 994967.2218316644 6545053.611054352, 995628.8117882668 6547079.766854419, 995995.4237565345 6549817.79954641, 997037.6849605573 6552335.945454662, 997884.1085834012 6554522.411124553, 999013.5225506027 6555825.454307561, 999869.6052105778 6556953.255833673, 1000049.698501053 6557051.097719289, 1001056.495313155 6556685.962293366, 1002867.816297912 6558168.926389194, 1003215.727618054 6558917.074799636, 1003605.725125708 6559204.327954154, 1004573.264828665 6558953.564007298, 1006740.924736449 6555437.657651539, 1008229.073316011 6554225.818449887, 1008614.951944567 6552623.885047863, 1010309.887844732 6552209.432911742, 1011487.087104769 6549701.409108644, 1010684.390955354 6549308.721312406, 1011171.814810115 6547905.678575602, 1012863.280213878 6547091.724237118, 1013434.175493522 6543789.561748042, 1010613.379714551 6541116.33281798, 1009884.529642126 6537725.62684559, 1006576.444406205 6536455.427891538, 1006063.915943115 6534961.125524456, 1002063.357029367 6534496.200025681, 1001368.27717913 6535001.80071873, 1001066.865987522 6534804.532733121, 1000548.288889818 6532610.938831521, 998465.0068309288 6534327.482416088, 996359.1185874385 6533446.492380599, 995638.2073730452 6530954.947759358, 996233.356437902 6530450.216672323, 995699.9778229755 6528206.539443678, 995389.5671130677 6528045.104223337))"
4,Bauges,Bauges,872.270863391,122.259312012,"POLYGON ((946630.7889859841 6532687.729288421, 947533.5315283363 6530728.5640571, 948572.8117528828 6528242.551487916, 949576.9585088312 6525241.388333262, 951142.4035002833 6522893.342427827, 953234.1300468233 6520681.405238071, 953963.787848366 6518734.955264167, 955894.6337741934 6516706.681066911, 957138.6866978892 6514725.215317157, 958737.2751503862 6512892.43578189, 960405.9321816482 6512088.666853154, 959585.9193084156 6509773.689367574, 957771.9107858506 6507928.841175403, 955939.2703770878 6505803.950724394, 953827.0430460535 6503697.387286293, 951435.5950111492 6501610.697485305, 949381.4941394331 6500344.638969052, 946711.2205640725 6498276.177394667, 944340.2309181389 6496468.391921096, 942212.0070878163 6494082.237978435, 940364.0504343045 6491677.696163404, 937715.1241145816 6489888.927909911, 934227.5417829123 6488155.489928402, 933314.2137436866 6491307.158052193, 931262.6949934615 6494253.708923035, 929732.8406275715 6496603.926453753, 927642.7964550828 6498991.796876986, 925570.746738187 6501659.495564832, 925373.6939808562 6503644.215620404, 925233.5829973629 6505056.215931569, 926296.4902692266 6508360.617570293, 927341.4120227256 6511385.213877494, 929227.0697016972 6514354.871620095, 931673.8050134011 6517286.984393286, 933579.7872209359 6520537.409940423, 935187.4517247167 6523526.505454301, 936515.3783774062 6526534.949414489, 937824.8749838625 6529262.793236816, 938611.7202408137 6532590.371302423, 940930.8884561202 6533561.324975435, 943530.6952639614 6534512.538479284, 945922.8310933411 6534979.152824484, 946630.7889859841 6532687.729288421))"
5,Beaufortin,Beaufortin,755.453225902,116.226855598,"POLYGON ((990566.0819226281 6523570.532604379, 990407.8929789732 6523029.948595051, 989842.9442990262 6520406.509058186, 989629.9696576165 6517378.186147609, 990293.8048550552 6516000.698542173, 992119.3493218007 6514921.445344036, 993755.5701523501 6513855.278224355, 994959.7159520885 6512059.20436107, 994583.5565103075 6509424.406675101, 993464.4268489028 6507032.33303929, 992372.1666821418 6505019.244284465, 991482.7253451464 6503181.79474351, 989877.0220536602 6501964.262399892, 987568.3732773177 6501556.520005477, 985031.0380927966 6500594.547395549, 983289.8982418621 6500146.050940362, 980928.8770973263 6498981.477018688, 979298.0402845072 6497385.298167796, 978423.6606506007 6495736.817211737, 977347.2621827833 6493912.712422139, 977163.3571718178 6491267.215848829, 975586.0901189828 6490427.262447366, 974583.3573773492 6492395.477993544, 972837.3633106954 6494604.805507087, 971104.1247239404 6497004.243497044, 969774.5321618244 6499755.077625331, 969200.8572790211 6502454.358199709, 968261.8094442727 6505368.820169385, 967472.5835859391 6507704.310507152, 966304.6583142555 6510065.431564337, 965299.6750317361 6512035.616280825, 963244.2126189139 6512556.909493148, 961162.8218816194 6513070.991323613, 962161.8634731458 6515070.779752917, 962818.0213079491 6517094.645341191, 963989.2715603965 6519083.484452839, 965711.1652913643 6521551.815119897, 966492.4020837529 6522878.122257221, 968392.5571505937 6522919.026916915, 969689.1481397755 6524209.410981797, 970518.358796184 6526222.354695382, 971187.8911120035 6528418.754899149, 972888.0708882594 6530544.060047765, 974924.929938937 6530201.355189907, 977184.7814725171 6529853.729456817, 979444.4892211654 6529506.062002441, 982056.2739950675 6528753.038052279, 984289.1907271132 6528025.914715372, 985332.5703401736 6526620.68857266, 987133.1633366542 6525162.39412105, 988391.9998188234 6524123.101180283, 990566.0819226281 6523570.532604379))"
6,Haute-Tarentaise,Hte-tarent,642.066618334,141.56294338,"POLYGON ((1018903.143633212 6493855.250414209, 1018430.597134126 6492145.771638827, 1018064.912334287 6489703.875223135, 1017294.415588353 6486911.584864691, 1016348.953973405 6484322.104191606, 1015080.423187414 6482515.488055647, 1013434.631419208 6480736.228120164, 1011384.703261234 6478605.786773446, 1009132.951777403 6476300.555092288, 1007326.530701467 6474878.987648051, 1007272.292099733 6476812.181628786, 1007191.264678232 6478335.985045852, 1007046.64252654 6479670.421369692, 1006822.810063237 6481327.520267077, 1006005.688984368 6483300.86447628, 1005071.71840737 6485556.508961814, 1004059.99773961 6487668.024489447, 1002847.97150581 6489888.582507819, 1001305.130664487 6492256.011291547, 999732.8688946678 6494215.599533007, 998170.0198769309 6496311.277962949, 996255.4318801871 6498439.568696283, 994622.5453069136 6500226.027929496, 993104.4659085823 6501927.163277399, 991482.7253451464 6503181.79474351, 992372.1666821418 6505019.244284465, 993464.4268489028 6507032.33303929, 994583.5565103075 6509424.406675101, 994959.7159520885 6512059.20436107, 993755.5701523501 6513855.278224355, 992119.3493218007 6514921.445344036, 990293.8048550552 6516000.698542173, 989629.9696576165 6517378.186147609, 989842.9442990262 6520406.509058186, 990566.0819226281 6523570.532604379, 990919.8753049641 6524896.49724588, 992906.6113668889 6526088.259667763, 994136.3354298251 6527333.380286957, 995389.5671130677 6528045.104223337, 995686.8710483141 6528151.4057418, 995403.7541751382 6526960.462202311, 995973.8220903358 6523558.425181163, 997165.7285650711 6522748.830840574, 996453.4712630315 6521256.382761643, 998427.4056191747 6518441.718999402, 999417.7150894796 6517433.995614709, 1002702.498182945 6516006.766417482, 1003605.101825906 6516398.584732777, 1004500.782999634 6515991.190469784, 1003989.131727751 6514596.839681436, 1005177.563546686 6513387.638756755, 1006870.835334148 6512773.459754245, 1008879.249613642 6513955.077430029, 1011962.421368411 6512329.701961562, 1010642.89755614 6509943.33151217, 1010808.122363031 6505945.335200565, 1011800.145398301 6505137.4717369, 1012057.503827716 6500239.606521733, 1012847.181280284 6499133.805403284, 1012832.459405342 6497435.359693722, 1014323.251914521 6496523.240256763, 1016919.844060344 6496400.906663694, 1017312.512926638 6495598.127624269, 1016503.78572974 6494506.187093204, 1017199.59104574 6494100.524442069, 1018903.143633212 6493855.250414209))"
10,Vanoise,Vanoise,1218.4528751,170.747060194,"POLYGON ((991482.7253451464 6503181.79474351, 993104.4659085823 6501927.163277399, 994622.5453069136 6500226.027929496, 996255.4318801871 6498439.568696283, 998170.0198769309 6496311.277962949, 999732.8688946678 6494215.599533007, 1001305.130664487 6492256.011291547, 1002847.97150581 6489888.582507819, 1004059.99773961 6487668.024489447, 1005071.71840737 6485556.508961814, 1006005.688984368 6483300.86447628, 1006822.810063237 6481327.520267077, 1007046.64252654 6479670.421369692, 1007191.264678232 6478335.985045852, 1007272.292099733 6476812.181628786, 1007326.530701467 6474878.987648051, 1006923.984443526 6474561.220989522, 1004077.798607564 6474573.650246814, 1001058.028329568 6474788.036969171, 999117.1472836032 6474167.008615059, 997351.8544946329 6473343.412726286, 996126.2944411306 6472102.539800716, 995049.5980662965 6470282.022545004, 993784.5097421552 6468474.83862576, 992572.7600080278 6467422.424211309, 991225.6561999994 6467138.336845838, 989312.4369382386 6466893.359874478, 986280.526195623 6466916.053798202, 983410.9013470274 6466547.736926221, 981511.0377743663 6466490.700804235, 979286.3643065824 6467214.30985841, 976710.1713776165 6468341.51641217, 974888.5262760324 6469415.449705876, 972917.1255133939 6471068.899453775, 971322.6716860671 6472696.216169455, 968295.8459439431 6475559.954089837, 966036.0975497818 6478561.074655604, 963534.9618904669 6480819.470769466, 962003.4364666599 6483391.250576926, 961403.0680536252 6485709.748260331, 961395.2888257089 6488367.553450682, 961400.4156871119 6491215.012742586, 961809.6494847812 6494415.015453393, 962433.8895106714 6497980.391056421, 962804.5463658608 6500614.474376168, 962784.1068253012 6503085.592600175, 962587.4874237832 6505759.06822345, 962782.283696502 6508596.381555552, 961385.4876691164 6510403.293113201, 960405.9321816482 6512088.666853154, 961162.8218816194 6513070.991323613, 963244.2126189139 6512556.909493148, 965299.6750317361 6512035.616280825, 966304.6583142555 6510065.431564337, 967472.5835859391 6507704.310507152, 968261.8094442727 6505368.820169385, 969200.8572790211 6502454.358199709, 969774.5321618244 6499755.077625331, 971104.1247239404 6497004.243497044, 972837.3633106954 6494604.805507087, 974583.3573773492 6492395.477993544, 975586.0901189828 6490427.262447366, 977163.3571718178 6491267.215848829, 977347.2621827833 6493912.712422139, 978423.6606506007 6495736.817211737, 979298.0402845072 6497385.298167796, 980928.8770973263 6498981.477018688, 983289.8982418621 6500146.050940362, 985031.0380927966 6500594.547395549, 987568.3732773177 6501556.520005477, 989877.0220536602 6501964.262399892, 991482.7253451464 6503181.79474351))"
9,Maurienne,Maurienne,917.119329854,172.057110913,"POLYGON ((983410.9013470274 6466547.736926221, 983726.4542158511 6464875.151114002, 984057.7148075899 6463211.783588923, 984209.4205534876 6461114.368551539, 984509.4953269933 6459005.957645184, 984819.8197319056 6457046.446155701, 985130.1231878377 6455087.355640901, 985599.0094425594 6453266.621973715, 985603.0858472735 6452684.084569324, 985604.5707382536 6452472.627095276, 985467.2504002169 6452413.457185361, 985607.4333615585 6452064.996355829, 985612.6042042715 6451328.645581857, 985226.4401985167 6451727.77097039, 984222.9034025015 6452766.144745559, 983925.6768231615 6453226.019116162, 983012.332447968 6454639.161473019, 981632.4481147921 6456225.633477019, 980318.068026991 6456614.733993118, 978220.8401521904 6456462.997917267, 976292.4419407885 6456596.831231029, 974670.9358511141 6456858.076190387, 971918.8569238517 6455855.948490766, 969969.9606495667 6455692.316522129, 967842.2089263303 6455093.272212254, 966179.9713973184 6454760.474558368, 963816.8400824161 6455071.638067894, 961601.900652864 6455372.545658065, 959852.1782241947 6455939.239599771, 957815.7726714065 6456674.695607618, 955799.3138223501 6457706.299018078, 954089.4860095088 6458866.013941073, 953121.3111585977 6459974.591629175, 952203.4080121156 6461826.073171432, 951730.5333844514 6463646.991718162, 951385.9383940466 6465161.501315759, 950810.720477429 6469559.15249736, 950785.7636979182 6471172.693256746, 950645.2164378611 6473062.23105569, 950763.0613230872 6474800.281023797, 950765.4192320459 6476815.598207415, 950874.1493210106 6478420.134859662, 950715.5316090949 6480043.497778276, 950851.5732637383 6482049.394694471, 950987.7197426102 6484056.564872498, 951133.052771117 6486196.806866979, 951260.0920066872 6488070.481274907, 951405.4641633045 6490211.585789987, 951657.4927673894 6491942.4010927, 951650.8618046801 6493825.452307124, 951902.8792507916 6495556.702493655, 950502.7748267668 6496728.288163126, 949352.196064861 6497613.06413142, 947888.3451449955 6497846.488620725, 946711.2205640725 6498276.177394667, 949381.4941394331 6500344.638969052, 951435.5950111492 6501610.697485305, 953827.0430460535 6503697.387286293, 955939.2703770878 6505803.950724394, 957771.9107858506 6507928.841175403, 959585.9193084156 6509773.689367574, 960405.9321816482 6512088.666853154, 961385.4876691164 6510403.293113201, 962782.283696502 6508596.381555552, 962587.4874237832 6505759.06822345, 962784.1068253012 6503085.592600175, 962804.5463658608 6500614.474376168, 962433.8895106714 6497980.391056421, 961809.6494847812 6494415.015453393, 961400.4156871119 6491215.012742586, 961395.2888257089 6488367.553450682, 961403.0680536252 6485709.748260331, 962003.4364666599 6483391.250576926, 963534.9618904669 6480819.470769466, 966036.0975497818 6478561.074655604, 968295.8459439431 6475559.954089837, 971322.6716860671 6472696.216169455, 972917.1255133939 6471068.899453775, 974888.5262760324 6469415.449705876, 976710.1713776165 6468341.51641217, 979286.3643065824 6467214.30985841, 981511.0377743663 6466490.700804235, 983410.9013470274 6466547.736926221))"
7,Chartreuse,Chartreuse,846.994238196,120.161034787,"POLYGON ((934227.5417829123 6488155.489928402, 934469.8826005145 6487577.540903527, 933686.4703694247 6484258.905664649, 932605.0277392536 6480680.727722231, 932120.4784091501 6477624.56680675, 930518.1862604251 6474643.233564725, 929754.7978963344 6471606.572795773, 928488.6729139057 6469445.927525533, 926924.943333736 6467024.534219583, 924784.6350251567 6464361.302538517, 922663.4475066185 6461976.808759656, 919407.5238611859 6459387.050053621, 916207.6766801032 6457634.86159311, 914386.160810879 6457104.431339188, 913063.2728230387 6456718.83760115, 911012.1274422014 6459657.495835999, 909239.5392731709 6462577.321440088, 907429.9267468839 6464938.936780774, 905637.953868693 6467580.514974151, 903214.0304196381 6469141.232807274, 902575.0573585248 6472269.19804565, 903594.8176200442 6475009.534255551, 905435.5956880908 6477416.164018211, 907574.6707799509 6480084.770205979, 910291.8641098347 6482995.943694985, 912973.5481105885 6485348.490995624, 914573.7966256428 6488333.016967416, 916137.8742300451 6490758.887775403, 916078.6287080282 6494134.361272076, 916542.4819113914 6496914.405346518, 917359.9738483501 6500796.371224521, 920307.1459300183 6502851.101567024, 922602.3824459156 6503542.874342755, 925373.6939808562 6503644.215620404, 925570.746738187 6501659.495564832, 927642.7964550828 6498991.796876986, 929732.8406275715 6496603.926453753, 931262.6949934615 6494253.708923035, 933314.2137436866 6491307.158052193, 934227.5417829123 6488155.489928402))"
8,Belledonne,Belledonne,993.456149932,154.88238994,"POLYGON ((950810.720477429 6469559.15249736, 949675.7610994901 6466682.667159213, 948649.7884038413 6465409.246086586, 947499.3132322758 6464278.9984702, 946358.102360648 6463282.066100682, 945065.4202188672 6462026.651941478, 943924.3987750844 6461030.192182868, 942160.4700643318 6460746.446672386, 940566.1479098977 6460987.456433658, 938811.1914626032 6460836.874642258, 937786.3683294005 6459563.709803057, 937812.5697890252 6457951.534524368, 938916.4785953468 6456401.574638605, 939565.6543930629 6454076.976966337, 938763.5826754384 6452119.091199631, 937596.818606915 6450721.822589146, 935709.550067397 6450579.879319996, 933581.8703074553 6450855.960879559, 932068.4565052281 6450285.751721085, 930920.2238379159 6449155.468581761, 929229.2397675163 6447926.900833463, 927663.1269715909 6446555.872610475, 926186.5075232096 6444508.086359407, 924354.0549065229 6443154.950806309, 922530.6076856597 6441934.540206017, 920119.2522548429 6441959.288154464, 917467.2232628239 6442401.73413766, 915587.5577280484 6444402.401773937, 914801.7080667698 6446732.989682336, 913989.5210531771 6448663.417077861, 913456.2681983664 6450395.800972611, 913735.3021125441 6452168.877011654, 914014.2925238205 6453941.95272041, 914282.8133731628 6455553.603272079, 914386.160810879 6457104.431339188, 916207.6766801032 6457634.86159311, 919407.5238611859 6459387.050053621, 922663.4475066185 6461976.808759656, 924784.6350251567 6464361.302538517, 926924.943333736 6467024.534219583, 928488.6729139057 6469445.927525533, 929754.7978963344 6471606.572795773, 930518.1862604251 6474643.233564725, 932120.4784091501 6477624.56680675, 932605.0277392536 6480680.727722231, 933686.4703694247 6484258.905664649, 934469.8826005145 6487577.540903527, 934227.5417829123 6488155.489928402, 937715.1241145816 6489888.927909911, 940364.0504343045 6491677.696163404, 942212.0070878163 6494082.237978435, 944340.2309181389 6496468.391921096, 946711.2205640725 6498276.177394667, 947888.3451449955 6497846.488620725, 949352.196064861 6497613.06413142, 950502.7748267668 6496728.288163126, 951902.8792507916 6495556.702493655, 951650.8618046801 6493825.452307124, 951657.4927673894 6491942.4010927, 951405.4641633045 6490211.585789987, 951260.0920066872 6488070.481274907, 951133.052771117 6486196.806866979, 950987.7197426102 6484056.564872498, 950851.5732637383 6482049.394694471, 950715.5316090949 6480043.497778276, 950874.1493210106 6478420.134859662, 950765.4192320459 6476815.598207415, 950763.0613230872 6474800.281023797, 950645.2164378611 6473062.23105569, 950785.7636979182 6471172.693256746, 950810.720477429 6469559.15249736))"
12,Grandes-Rousses,Gdes-rouss,555.916339479,120.014509669,"POLYGON ((974670.9358511141 6456858.076190387, 973869.4069521371 6455908.746467534, 973330.3793308407 6454714.945917872, 972624.3891082035 6453124.572950171, 971749.7948781234 6451247.863894253, 971161.6180727694 6449203.147755646, 970594.0934948522 6447454.543059452, 970343.7303390442 6446342.457913826, 970164.7581697961 6445547.48341874, 969777.4272312926 6443022.716746716, 969640.4509115458 6442153.359795015, 968595.894188941 6442230.249203627, 966827.4660847129 6442500.921136871, 964604.15231694 6442653.471836379, 962677.161026851 6442785.408737413, 960453.8146904861 6442937.730552877, 958675.0295622593 6443058.885045675, 956727.7696337189 6442893.720002172, 953891.0825521743 6442788.579085668, 953109.3080104918 6442696.327461662, 951489.1960652716 6442505.148248945, 948366.1056886232 6442567.33369662, 946300.6932256505 6442855.681526787, 944225.3215578322 6442995.489010542, 942979.5142483078 6442185.987533411, 941713.8556725206 6441080.036955289, 939776.8981829541 6441060.527727502, 938660.4963065421 6442177.978450079, 938186.6915916407 6443996.892861624, 937712.6532041649 6445815.39454333, 937110.2107937554 6447941.048795993, 936778.7316570511 6449605.189661777, 935709.550067397 6450579.879319996, 937596.818606915 6450721.822589146, 938763.5826754384 6452119.091199631, 939565.6543930629 6454076.976966337, 938916.4785953468 6456401.574638605, 937812.5697890252 6457951.534524368, 937786.3683294005 6459563.709803057, 938811.1914626032 6460836.874642258, 940566.1479098977 6460987.456433658, 942160.4700643318 6460746.446672386, 943924.3987750844 6461030.192182868, 945065.4202188672 6462026.651941478, 946358.102360648 6463282.066100682, 947499.3132322758 6464278.9984702, 948649.7884038413 6465409.246086586, 949675.7610994901 6466682.667159213, 950810.720477429 6469559.15249736, 951385.9383940466 6465161.501315759, 951730.5333844514 6463646.991718162, 952203.4080121156 6461826.073171432, 953121.3111585977 6459974.591629175, 954089.4860095088 6458866.013941073, 955799.3138223501 6457706.299018078, 957815.7726714065 6456674.695607618, 959852.1782241947 6455939.239599771, 961601.900652864 6455372.545658065, 963816.8400824161 6455071.638067894, 966179.9713973184 6454760.474558368, 967842.2089263303 6455093.272212254, 969969.9606495667 6455692.316522129, 971918.8569238517 6455855.948490766, 974670.9358511141 6456858.076190387))"
